셀번호,측정시간,장애여부
YSWS2-5,2024-04-16T10:00:34.000+09:00,MAJOR
JNJE65,2024-04-16T10:00:55.000+09:00,MAJOR
JNJE110,2024-04-16T10:00:55.000+09:00,MAJOR
YSWS2-5,2024-04-16T10:08:58.000+09:00,MAJOR
YSWS2-5,2024-04-16T10:21:01.000+09:00,MAJOR
YSWS0278A,2024-04-16T11:03:50.000+09:00,MAJOR
YSMMH6003,2024-04-16T11:55:41.000+09:00,MAJOR
YSWS0278A,2024-04-16T12:28:10.000+09:00,MAJOR
JNGC1002,2024-04-16T12:51:42.000+09:00,MAJOR
YSWS0278A,2024-04-16T12:52:05.000+09:00,MAJOR
YSWS0278A,2024-04-16T12:59:04.000+09:00,MAJOR
JNSC2-3,2024-04-16T13:17:13.000+09:00,MAJOR
JNGJ2,2024-04-16T15:10:57.000+09:00,CRITICAL
JNJE1258,2024-04-16T15:19:50.000+09:00,MAJOR
JNGJ2,2024-04-16T15:30:21.000+09:00,CRITICAL
JNNW12,2024-04-16T15:45:32.000+09:00,MAJOR
JNNW12,2024-04-16T16:24:55.000+09:00,MAJOR
YSYW0047,2024-04-16T17:56:35.000+09:00,CRITICAL
YSYW0047,2024-04-16T18:08:57.000+09:00,CRITICAL
JNJE77-2,2024-04-16T21:42:45.000+09:00,MAJOR
YSJBH910,2024-04-17T00:02:41.000+09:00,MAJOR
JNGC1002,2024-04-17T00:16:52.000+09:00,MAJOR
JNGC1002,2024-04-17T00:48:14.000+09:00,MAJOR
YSJBH910,2024-04-17T01:27:59.000+09:00,MAJOR
JNBA3033,2024-04-17T02:02:35.000+09:00,CRITICAL
JNBA2017,2024-04-17T02:02:35.000+09:00,CRITICAL
YSJBH910,2024-04-17T02:06:30.000+09:00,MAJOR
YSJBH910,2024-04-17T02:15:22.000+09:00,MAJOR
YSJBH910,2024-04-17T02:25:40.000+09:00,MAJOR
JNJE77-2,2024-04-17T02:33:40.000+09:00,MAJOR
JNGC1001,2024-04-17T02:51:36.000+09:00,MAJOR
JNGC1001,2024-04-17T04:23:44.000+09:00,MAJOR
JNJE77-2,2024-04-17T04:40:52.000+09:00,MAJOR
JNJE77-2,2024-04-17T05:01:22.000+09:00,MAJOR
JNGC1002,2024-04-17T06:09:30.000+09:00,MAJOR
JNJE77-2,2024-04-17T07:41:51.000+09:00,MAJOR
YSWS0296,2024-04-17T10:02:58.000+09:00,CRITICAL
YSWS2-13,2024-04-17T10:04:41.000+09:00,CRITICAL
JNBA2006,2024-04-17T10:29:34.000+09:00,MAJOR
JNGC1002,2024-04-17T10:52:43.000+09:00,MAJOR
JNGC1002,2024-04-17T11:02:56.000+09:00,MAJOR
JNSC2-3,2024-04-17T12:16:23.000+09:00,MAJOR
JNSC2-3,2024-04-17T12:20:32.000+09:00,MAJOR
JNJE4,2024-04-17T12:35:35.000+09:00,MAJOR
YSYW0069,2024-04-17T13:25:48.000+09:00,MAJOR
YSWS0265,2024-04-17T13:52:38.000+09:00,MAJOR
JNNW12,2024-04-17T13:52:33.000+09:00,MAJOR
JNGC0004-1,2024-04-17T17:59:26.000+09:00,MAJOR
YSDG10-1,2024-04-17T18:16:20.000+09:00,CRITICAL
YSDG10-1,2024-04-17T23:44:30.000+09:00,CRITICAL
JNGC1002,2024-04-18T01:14:27.000+09:00,MAJOR
YSHS0058,2024-04-18T01:22:37.000+09:00,MAJOR
YSHS0013,2024-04-18T01:43:20.000+09:00,MAJOR
YSHS0017,2024-04-18T01:55:15.000+09:00,CRITICAL
YSHS0069-1,2024-04-18T02:03:52.000+09:00,CRITICAL
YSHS0092,2024-04-18T02:19:22.000+09:00,CRITICAL
YSHS0039,2024-04-18T02:24:19.000+09:00,MAJOR
YSHS0043,2024-04-18T02:24:19.000+09:00,MAJOR
YSHS0038,2024-04-18T02:24:19.000+09:00,MAJOR
JNGC1002,2024-04-18T02:24:06.000+09:00,MAJOR
YSHS0062,2024-04-18T02:26:14.000+09:00,CRITICAL
YSHS0074,2024-04-18T02:26:14.000+09:00,CRITICAL
YSHS0055,2024-04-18T02:26:14.000+09:00,CRITICAL
YSHS0037,2024-04-18T02:26:14.000+09:00,MAJOR
YSHS0036,2024-04-18T02:26:14.000+09:00,MAJOR
YSHS0065,2024-04-18T02:27:51.000+09:00,MAJOR
YSHSHFC0007,2024-04-18T02:29:28.000+09:00,MAJOR
YSHS0053,2024-04-18T02:32:46.000+09:00,CRITICAL
YSHS0075,2024-04-18T02:32:46.000+09:00,MAJOR
YSHS0035,2024-04-18T02:34:26.000+09:00,MAJOR
YSHS0083,2024-04-18T02:34:26.000+09:00,MAJOR
YSHS0069-2,2024-04-18T02:38:06.000+09:00,CRITICAL
YSHS0052,2024-04-18T02:45:07.000+09:00,MAJOR
YSHS0074,2024-04-18T02:50:28.000+09:00,CRITICAL
YSHS0011,2024-04-18T02:52:04.000+09:00,CRITICAL
YSHS0013,2024-04-18T02:52:04.000+09:00,CRITICAL
YSHS0015,2024-04-18T02:52:04.000+09:00,CRITICAL
YSHS0055,2024-04-18T02:52:04.000+09:00,CRITICAL
YSHSHFC0009,2024-04-18T02:52:04.000+09:00,MAJOR
YSHS0079,2024-04-18T02:53:47.000+09:00,MAJOR
YSHSHFC0007-2,2024-04-18T02:53:47.000+09:00,MAJOR
YSHS0017,2024-04-18T02:56:05.000+09:00,CRITICAL
YSHS0024,2024-04-18T02:56:05.000+09:00,CRITICAL
YSHS0014,2024-04-18T02:57:53.000+09:00,MAJOR
YSHSHFC0008,2024-04-18T02:57:53.000+09:00,MAJOR
YSHSH5005,2024-04-18T03:04:13.000+09:00,CRITICAL
YSHS0074,2024-04-18T03:09:49.000+09:00,CRITICAL
